CourseCode,CourseName
LAE1113,Academic English
TAM1113,Algebra
TBD1134,Basic Database
TCS1114,Basic of Computer System Design
TCM1134,Calculus
TCM1114,Chemistry
TCH1134,Chemistry 
LCE1113,Communicative English
TCA1114,Computer Applications
TCT1114,Creative and Critical Thinking
LCT1113,Critical Thinking
TEM1124,Electricity & Magnetism
TEM1134,Electricity & Magnetism
LEE1113,Essential English
TFM1114,Foundation Math 1
TFM1135,Foundation Math 2
BPB1114,Fundamentals of Business Management
TCO1114,Introduction to Computer Architecture and Operating System
TKT1115,Introduction to Computing and Technology
TIM1124,Introduction to Multimedia Technology
TIP1123,Introduction to Physics
TIP1123,Introduction to Physics  
TSM1123,Introduction to Probability and Statistics
TSM1124,Introduction to Probability and Statistics
TIL1112,Introductory Laboratory
TMT1114,Mechanics & Thermodynamics
TMT1114,Mechanics & Thermodynamics
TMP1133,Mini IT Projects
TPS1123,Problem Solving and Programming
TPS1134,Problem Solving and Programming  
TTM1113,Trigonometry
TWP1133,Waves & Modern Physics
TWP1123,Waves & Modern Physics
